Feature_1,Feature_2,Correlation
S_RA,S_RA_H,0.9999999999999936
S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,-0.9999999999993416
S_AGE_ERROR_MAX,S_ABIO_ZONE,-0.9999977113120694
S_AGE_ERROR_MIN,S_ABIO_ZONE,0.9999977113117808
S_LUMINOSITY,S_HZ_OPT_MIN,0.9999974066261936
P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,-0.9999895932701136
P_RADIUS_ERROR_MIN,S_HZ_OPT_MIN,0.9999887764545432
P_RADIUS_ERROR_MIN,S_LUMINOSITY,0.9999832741820062
P_RADIUS_ERROR_MAX,S_HZ_OPT_MIN,-0.9999752123819374
P_RADIUS_ERROR_MAX,S_LUMINOSITY,-0.9999700649624166
S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,-0.999952549635884
P_RADIUS_ERROR_MIN,S_ABIO_ZONE,-0.999937621557701
P_RADIUS_ERROR_MIN,S_AGE_ERROR_MIN,-0.9999375263512014
P_RADIUS_ERROR_MIN,S_AGE_ERROR_MAX,0.9999375260715219
S_HZ_OPT_MIN,S_ABIO_ZONE,-0.9999354271409973
S_AGE_ERROR_MIN,S_HZ_OPT_MIN,-0.9999340509695568
S_AGE_ERROR_MAX,S_HZ_OPT_MIN,0.999934050802463
S_LUMINOSITY,S_ABIO_ZONE,-0.9999296812171081
S_AGE_ERROR_MIN,S_LUMINOSITY,-0.9999283126514329
S_AGE_ERROR_MAX,S_LUMINOSITY,0.9999283125873519
P_RADIUS_ERROR_MAX,S_ABIO_ZONE,0.9999246831636148
P_RADIUS_ERROR_MAX,S_AGE_ERROR_MIN,0.9999243704845706
P_RADIUS_ERROR_MAX,S_AGE_ERROR_MAX,-0.9999243704531945
P_FLUX,P_FLUX_MIN,0.9999163405390854
P_GRAVITY,P_DENSITY,0.9999098521619356
P_DISTANCE,P_SEMI_MAJOR_AXIS_EST,0.9998793718820963
P_POTENTIAL,P_GRAVITY,0.9998648078916388
P_ESCAPE,P_POTENTIAL,0.9998529292623599
S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,-0.999809422408614
S_RADIUS,S_RADIUS_EST,0.9997713967669742
S_TEMPERATURE_ERROR_MAX,S_ABIO_ZONE,0.9996746790258813
S_AGE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,0.9996727978849942
S_AGE_ERROR_MAX,S_TEMPERATURE_ERROR_MAX,-0.999672797316246
P_FLUX,P_FLUX_MAX,0.9996471788271861
P_ESCAPE,P_GRAVITY,0.999642545579056
P_RADIUS_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,-0.9996374344493817
P_RADIUS_ERROR_MAX,S_TEMPERATURE_ERROR_MAX,0.9996337672865551
S_TEMPERATURE_ERROR_MAX,S_HZ_OPT_MIN,-0.9996176475988952
P_POTENTIAL,P_DENSITY,0.999616453327566
S_TEMPERATURE_ERROR_MAX,S_LUMINOSITY,-0.9996135758513964
P_RADIUS_ERROR_MAX,S_TEMPERATURE_ERROR_MIN,-0.9995245440023597
S_METALLICITY_ERROR_MIN,S_ABIO_ZONE,0.9995138988092273
S_METALLICITY_ERROR_MIN,S_AGE_ERROR_MAX,-0.9995111850660021
S_METALLICITY_ERROR_MIN,S_AGE_ERROR_MIN,0.9995111768792968
S_TEMPERATURE_ERROR_MIN,S_ABIO_ZONE,-0.9995064719747184
S_AGE_ERROR_MAX,S_TEMPERATURE_ERROR_MIN,0.9995047433517467
S_AGE_ERROR_MIN,S_TEMPERATURE_ERROR_MIN,-0.9995047428524674
S_METALLICITY,S_ABIO_ZONE,-0.9994956781138746
S_METALLICITY,S_AGE_ERROR_MIN,-0.9994939925071851
S_METALLICITY,S_AGE_ERROR_MAX,0.9994939886461235
S_METALLICITY_ERROR_MAX,S_ABIO_ZONE,-0.9994915535099835
S_METALLICITY_ERROR_MAX,S_AGE_ERROR_MAX,0.9994890303251985
S_METALLICITY_ERROR_MAX,S_AGE_ERROR_MIN,-0.9994890221184242
P_RADIUS_ERROR_MIN,S_TEMPERATURE_ERROR_MIN,0.999473942357765
P_ESCAPE,S_ABIO_ZONE,0.9994712846120215
S_AGE_ERROR_MIN,P_ESCAPE,0.9994661899714196
S_AGE_ERROR_MAX,P_ESCAPE,-0.999466189130571
S_TEMPERATURE_ERROR_MIN,S_HZ_OPT_MIN,0.999451354178299
S_TEMPERATURE_ERROR_MIN,S_LUMINOSITY,0.9994482288577443
S_METALLICITY_ERROR_MIN,S_HZ_OPT_MIN,-0.9994411754036154
S_METALLICITY_ERROR_MIN,S_LUMINOSITY,-0.999438821536205
P_RADIUS_ERROR_MIN,S_METALLICITY,0.9994349524588115
P_PERIOD,P_PERIOD_ERROR_MIN,-0.9994307504871677
P_RADIUS_ERROR_MIN,S_METALLICITY_ERROR_MIN,-0.9994272954416937
P_RADIUS_ERROR_MAX,S_METALLICITY,-0.9994207096471354
S_METALLICITY,S_HZ_OPT_MIN,0.9994199997414792
S_METALLICITY_ERROR_MAX,S_HZ_OPT_MIN,0.9994186394843907
S_METALLICITY_ERROR_MAX,S_LUMINOSITY,0.999416746559469
P_RADIUS_ERROR_MIN,P_ESCAPE,-0.9994140130043268
P_RADIUS_ERROR_MAX,S_METALLICITY_ERROR_MIN,0.9994092881256978
P_RADIUS_ERROR_MIN,S_METALLICITY_ERROR_MAX,0.9994061161417178
P_RADIUS_ERROR_MAX,P_ESCAPE,0.9994057637912553
P_ESCAPE,S_HZ_OPT_MIN,-0.9994036828697642
S_METALLICITY,S_LUMINOSITY,0.9994029745280962
P_ESCAPE,S_LUMINOSITY,-0.9993980749467293
P_ESCAPE,P_DENSITY,0.9993969389866593
P_RADIUS_ERROR_MAX,S_METALLICITY_ERROR_MAX,-0.9993901994475991
P_PERIOD,P_PERIOD_ERROR_MAX,0.9993162356469631
P_GRAVITY,S_ABIO_ZONE,0.9992582693274827
S_AGE_ERROR_MIN,P_GRAVITY,0.9992573413303732
S_AGE_ERROR_MAX,P_GRAVITY,-0.9992573408845852
P_POTENTIAL,S_ABIO_ZONE,0.9992562961906017
S_AGE_ERROR_MIN,P_POTENTIAL,0.9992519160120574
S_AGE_ERROR_MAX,P_POTENTIAL,-0.9992519153874475
P_FLUX_MIN,P_FLUX_MAX,0.9992233540744199
S_METALLICITY,S_TEMPERATURE_ERROR_MAX,-0.9992191318781879
P_RADIUS_ERROR_MIN,P_GRAVITY,-0.9991978707677047
P_RADIUS_ERROR_MIN,P_POTENTIAL,-0.9991944805934366
P_POTENTIAL,S_HZ_OPT_MIN,-0.9991896326959291
P_GRAVITY,S_HZ_OPT_MIN,-0.9991887278315419
P_RADIUS_ERROR_MAX,P_GRAVITY,0.999183364617753
S_TEMPERATURE_ERROR_MAX,P_ESCAPE,0.999183238505189
P_POTENTIAL,S_LUMINOSITY,-0.9991830626409917
P_RADIUS_ERROR_MAX,P_POTENTIAL,0.9991826019455925
P_GRAVITY,S_LUMINOSITY,-0.9991816969966424
P_DENSITY,S_ABIO_ZONE,0.9990400726623986
S_AGE_ERROR_MIN,P_DENSITY,0.9990396964696566
S_AGE_ERROR_MAX,P_DENSITY,-0.9990396959864947
S_METALLICITY,S_TEMPERATURE_ERROR_MIN,0.9990207027354999
S_TEMPERATURE_ERROR_MIN,P_ESCAPE,-0.9990201107742905
P_RADIUS_ERROR_MIN,P_DENSITY,-0.9989796221058566
P_DENSITY,S_HZ_OPT_MIN,-0.9989703219019367
P_RADIUS_ERROR_MAX,P_DENSITY,0.9989644370286218
P_DENSITY,S_LUMINOSITY,-0.9989630642897717
S_METALLICITY,P_ESCAPE,-0.9989513537961662
S_TEMPERATURE_ERROR_MAX,P_POTENTIAL,0.9989434989158529
P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,-0.9989329312622456
S_TEMPERATURE_ERROR_MAX,P_GRAVITY,0.9989287836228196
S_METALLICITY_ERROR_MIN,P_ESCAPE,0.998927577991363
S_METALLICITY_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,0.998909107632754
S_METALLICITY_ERROR_MAX,P_ESCAPE,-0.9989019554934228
S_METALLICITY_ERROR_MAX,S_TEMPERATURE_ERROR_MAX,-0.9988941255422622
S_METALLICITY,S_METALLICITY_ERROR_MIN,-0.9988904616814248
S_MAG,S_TEMPERATURE_ERROR_MAX,0.9988896379735951
